t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
8.53,standing,75.7,1,0.83,523,206,2.54,474,,,,,,7
8.62,standing,86.0,1,0.83,531,206,2.58,473,,,,,,7
8.71,standing,85.2,1,0.84,525,206,2.55,474,,,,,,8
8.79,standing,76.6,1,0.84,523,206,2.54,474,,,,,,8
8.88,standing,84.6,1,0.84,523,206,2.54,474,,,,,,8
8.97,standing,84.3,1,0.85,520,206,2.52,475,,,,,,8
9.06,standing,88.2,1,0.84,518,206,2.51,475,,,,,,7
9.14,standing,78.7,1,0.84,520,206,2.52,475,,,,,,7
9.22,standing,83.6,1,0.84,519,206,2.52,475,,,,,,7
9.31,standing,86.3,1,0.85,522,206,2.53,475,,,,,,8
9.40,standing,78.6,1,0.85,519,206,2.52,475,,,,,,8
9.47,standing,74.8,1,0.85,528,206,2.56,474,,,,,,8
9.54,standing,67.3,1,0.84,526,206,2.55,474,,,,,,8
9.62,standing,76.3,1,0.83,521,206,2.53,477,,,,,,8
9.72,standing,90.7,1,0.84,526,206,2.55,474,,,,,,7
9.80,standing,76.2,1,0.84,523,206,2.54,474,,,,,,8
9.88,standing,80.8,1,0.84,526,206,2.55,474,,,,,,8
9.97,standing,83.9,1,0.83,517,206,2.51,477,,,,,,8
10.05,standing,78.0,1,0.83,521,206,2.53,474,,,,,,7
10.13,standing,78.1,1,0.84,520,206,2.52,474,,,,,,8
10.21,standing,77.6,1,0.84,520,206,2.52,475,,,,,,8
10.28,standing,71.0,1,0.84,527,206,2.56,473,,,,,,8
10.36,standing,78.6,1,0.83,522,206,2.53,476,,,,,,8
10.45,standing,83.9,1,0.83,526,206,2.55,474,,,,,,8
10.52,standing,69.8,1,0.83,521,206,2.53,474,,,,,,7
10.60,standing,78.6,1,0.83,524,206,2.54,477,,,,,,8
10.69,standing,79.9,1,0.84,526,206,2.55,474,,,,,,8
10.78,standing,89.0,1,0.84,523,206,2.54,474,,,,,,8
10.85,standing,71.7,1,0.83,525,206,2.55,473,,,,,,7
10.94,standing,83.7,1,0.84,522,206,2.53,473,,,,,,7
11.02,standing,79.4,1,0.84,522,206,2.53,474,,,,,,8
11.10,standing,80.1,1,0.84,516,206,2.50,474,,,,,,8
11.19,standing,81.6,1,0.83,520,206,2.52,473,,,,,,7
11.27,standing,75.4,1,0.84,523,206,2.54,474,,,,,,8
11.35,standing,85.2,1,0.84,515,206,2.50,474,,,,,,8
11.44,standing,79.6,1,0.84,512,206,2.49,474,,,,,,8
11.53,standing,81.5,1,0.84,525,206,2.55,473,,,,,,8
11.61,standing,80.0,1,0.83,511,206,2.48,474,,,,,,8
11.69,standing,77.2,1,0.84,513,206,2.49,473,,,,,,7
11.79,standing,92.4,1,0.83,515,206,2.50,475,,,,,,8
11.88,standing,86.6,1,0.83,524,206,2.54,475,,,,,,8
11.96,standing,85.3,1,0.83,520,206,2.52,475,,,,,,8
12.05,standing,80.7,1,0.83,524,206,2.54,474,,,,,,7
12.14,standing,94.4,1,0.84,524,206,2.54,474,,,,,,8
12.24,standing,90.7,1,0.84,521,206,2.53,475,,,,,,7
2.10,standing,2099.3,1,0.68,407,206,1.98,468,,,,,,7
2.25,standing,77.6,1,0.73,417,206,2.02,471,,,,,,7
2.34,standing,80.3,1,0.76,463,205,2.26,469,,,,,,7
2.45,standing,107.8,1,0.76,464,205,2.26,468,,,,,,7
2.53,standing,81.1,1,0.75,460,205,2.24,469,,,,,,7
2.62,standing,82.6,1,0.75,459,205,2.24,470,,,,,,7
2.69,standing,69.9,1,0.75,465,205,2.27,469,,,,,,7
2.78,standing,91.4,1,0.75,460,205,2.24,469,,,,,,7
2.86,standing,74.9,1,0.76,460,205,2.24,469,,,,,,7
2.99,standing,121.0,1,0.75,462,205,2.25,468,,,,,,7
3.08,standing,95.1,1,0.75,462,205,2.25,469,,,,,,7
3.18,standing,97.3,1,0.76,461,205,2.25,469,,,,,,7
3.28,standing,90.4,1,0.73,455,205,2.22,471,,,,,,7
3.40,standing,121.9,1,0.74,458,205,2.23,469,,,,,,7
3.52,standing,116.6,1,0.75,459,205,2.24,468,,,,,,7
3.61,standing,88.9,1,0.74,463,205,2.26,470,,,,,,7
3.69,standing,73.2,1,0.74,461,205,2.25,470,,,,,,7
3.79,standing,97.2,1,0.76,460,205,2.24,470,,,,,,7
3.88,standing,92.2,1,0.76,459,205,2.24,468,,,,,,7
3.99,standing,104.7,1,0.75,462,205,2.25,468,,,,,,7
4.09,standing,100.8,1,0.75,461,205,2.25,469,,,,,,7
4.19,standing,95.0,1,0.75,462,205,2.25,468,,,,,,7
4.30,standing,105.9,1,0.75,463,205,2.26,468,,,,,,7
4.37,standing,70.2,1,0.76,459,205,2.24,469,,,,,,7
4.49,standing,117.7,1,0.75,456,205,2.22,469,,,,,,7
4.62,standing,121.2,1,0.75,458,205,2.23,468,,,,,,7
4.70,standing,77.0,1,0.76,459,205,2.24,470,,,,,,7
4.79,standing,91.7,1,0.76,460,205,2.24,469,,,,,,7
4.88,standing,87.6,1,0.76,459,205,2.24,470,,,,,,7
4.98,standing,91.3,1,0.77,457,205,2.23,470,,,,,,7
5.07,standing,87.2,1,0.76,461,205,2.25,470,,,,,,7
5.17,standing,104.0,1,0.76,458,205,2.23,470,,,,,,7
5.26,standing,80.7,1,0.76,461,205,2.25,469,,,,,,7
5.35,standing,89.1,1,0.76,457,205,2.23,469,,,,,,7
5.44,standing,90.5,1,0.77,462,205,2.25,468,,,,,,7
5.56,standing,113.5,1,0.76,458,205,2.23,469,,,,,,7
5.66,standing,98.8,1,0.75,458,205,2.23,470,,,,,,7
5.76,standing,95.3,1,0.76,460,205,2.24,470,,,,,,7
5.84,standing,76.1,1,0.76,460,205,2.24,470,,,,,,7
5.93,standing,90.7,1,0.76,464,205,2.26,470,,,,,,7
6.02,standing,84.2,1,0.76,461,205,2.25,470,,,,,,7
6.11,standing,89.0,1,0.76,458,205,2.23,469,,,,,,7
6.22,standing,106.7,1,0.76,461,205,2.25,469,,,,,,7
6.32,standing,98.4,1,0.76,464,205,2.26,471,,,,,,7
6.43,standing,107.3,1,0.76,462,205,2.25,470,,,,,,7
6.53,standing,103.2,1,0.76,462,205,2.25,470,,,,,,7
6.65,standing,108.4,1,0.75,468,205,2.28,470,,,,,,7
6.75,standing,100.1,1,0.77,463,205,2.26,469,,,,,,7
6.84,standing,87.4,1,0.77,459,205,2.24,470,,,,,,7
6.92,standing,84.1,1,0.76,462,205,2.25,470,,,,,,7
7.02,standing,91.8,1,0.76,459,205,2.24,471,,,,,,7
